,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_train_mae,split1_train_mae,split2_train_mae,split3_train_mae,split4_train_mae,mean_train_mae,std_train_mae
0,0.4697854042053223,0.21642824054559007,0.0009993553161621095,1.1444091796875002e-06,0.8,0.1,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",-0.05648204896376171,-0.06238959841181675,-0.0626806814405344,-0.06628935781162801,-0.07179376254038136,-0.06392708983362445,0.0050360877034372475,185,-0.005304993226065034,-0.004287555190729321,-0.0048256322730816465,-0.00301698658000741,-0.004205175134351054,-0.004328068480846893,0.000766502646722179
1,0.04331207275390625,0.003391710404164877,0.0008161544799804687,0.0004093021790534001,0.8,0.1,7,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.9}",-0.0534517393483288,-0.05619790652278601,-0.06568152733806079,-0.07010533298261747,-0.07053064873927194,-0.06319343098621301,0.007094190517681492,131,-0.005391218304798989,-0.004261786025779982,-0.004274488960720986,-0.002982070464012188,-0.003747855186300396,-0.004131483788322508,0.0007864708638993458
2,0.04181623458862305,0.005229258752469344,0.0006001472473144531,0.0004900182296200158,0.8,0.1,7,200,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1}",-0.050509602270523396,-0.0555479026694124,-0.06396273420996933,-0.0659083038441545,-0.06996470377419253,-0.06117864935365043,0.007111250048359936,8,-0.008111076542986212,-0.005444369780831019,-0.006040462748054166,-0.004387293545741892,-0.007188871635726361,-0.00623441485066793,0.0013043383462547262
3,0.08640003204345703,0.008260787963036169,0.001200103759765625,0.0004001141304822542,0.8,0.1,7,400,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 400, 'subsample': 0.8}",-0.056219686208156386,-0.06237416869766997,-0.06291862493555556,-0.06684110446180362,-0.07332773464280762,-0.06433626378919863,0.005636650132890511,246,-0.003901116261423472,-0.0033475143802446246,-0.0030739782260613886,-0.0013901601997997257,-0.0018657349558068464,-0.002715700804667211,0.0009393892430151424
4,0.08578052520751953,0.004415406933906318,0.0009998798370361329,1.2194358685058998e-06,0.8,0.1,7,400,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 400, 'subsample': 0.9}",-0.05396409975102108,-0.0563862144929512,-0.06643525173779574,-0.07062945378304036,-0.0716796826975336,-0.0638189404924684,0.007312766175000618,178,-0.0038996587825299413,-0.003274372573404912,-0.0030791249710116933,-0.0015195100980586193,-0.0019095122970127223,-0.002736435744403578,0.0008859582598558555
5,0.06419858932495118,0.001833090430336731,0.0008000373840332031,0.000400018706226792,0.8,0.1,7,400,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 400, 'subsample': 1}",-0.05114474102799333,-0.05577250874862615,-0.06425304915081459,-0.06622456157382933,-0.07292641734292248,-0.06206425556883718,0.007731848390435691,47,-0.006386154247830367,-0.00503171645140565,-0.005347528289646802,-0.0033941973676714973,-0.004238024228719468,-0.004879524117054756,0.0010129010240223176
6,0.12327370643615723,0.010286340661330105,0.0014309406280517579,0.00049977883296519,0.8,0.1,7,600,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 600, 'subsample': 0.8}",-0.05645140444278812,-0.062004604122362465,-0.06178752775204752,-0.06686081282790868,-0.07329831523510758,-0.06408053287604287,0.005665128799417599,198,-0.003855588581749382,-0.0033057492035493477,-0.0030500508537351346,-0.001321122712849728,-0.0017157509658196994,-0.0026496524635406583,0.0009677010933379209
7,0.08736915588378906,0.007701062406931724,0.0007998943328857422,0.0003999471771024199,0.8,0.1,7,600,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 600, 'subsample': 0.9}",-0.05426036463787716,-0.05608344568750345,-0.06558296579869133,-0.07093103341738892,-0.07167709892649266,-0.06370698169359071,0.007301861179320099,170,-0.003771340016455491,-0.003199934188769899,-0.002948682001959299,-0.0014355945257172127,-0.0017444819310723364,-0.0026200065327948475,0.0008876133810983672
8,0.061199617385864255,0.013059379318999791,0.0007997035980224609,0.0003998520655634258,0.8,0.1,7,600,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 600, 'subsample': 1}",-0.051144737521837756,-0.05577250874862615,-0.06425304915081459,-0.06622456157382933,-0.07292641734292248,-0.06206425486760606,0.007731849380768592,43,-0.006386156027073495,-0.005031716006594868,-0.005347527400025238,-0.003394196484639723,-0.004238023787203581,-0.0048795239411073815,0.0010129017726526412
9,0.1351994514465332,0.01938498510692996,0.0011998653411865235,0.00039999486081696955,0.8,0.1,7,800,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 800, 'subsample': 0.8}",-0.05672350928811561,-0.0630086057958926,-0.06289003136030236,-0.0670511638734016,-0.07324449585327811,-0.06458356123419806,0.005444810298302837,282,-0.0036890553254158884,-0.003141123266835011,-0.0028458370661549634,-0.0012541015863590064,-0.001640895962232008,-0.0025142026413993756,0.0009201966003211019
